name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11978.1,,,,,,,,,,16923.2,,,,,18189.7,,,17989.4,,18001.3,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016931.7,,,,,,,,,,1043424.8,,,,,1327822,,,1537239.6,,1642257.6,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50242.3,,,,,,,,,,55112.9,,,,,57742.6,,,63053.2,,66694.2,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98339.5,,,,,,,,,,63695.1,,,,,57684.7,,,69445.6,,73859,,,,,
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7194.2,,,,,,,,,,8028.7,,,,,7673.6,,,6649.1,,7016,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3768.5,,,,,,,,,,2916.9,,,,,2434.9,,,2167.9,,2273.7,,,,,
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12146.3,,,,,,,,,,14236.8,,,,,12471.5,,,14486.6,,15946.8,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,,,,,,,,,,3944.1,,,,,4508.4,,,4853.3,,5036,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065.2,,,,,,,,,,10563.3,,,,,9275.8,,,8413.1,,8392.1,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.3,,,,,,,,,,569.2,,,,,618.6,,,614.2,,621.4,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18239.3,,,,,,,,,,12946.2,,,,,12040.8,,,11850.4,,12033.4,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7980.5,,,,,,,,,,8124.9,,,,,7955.5,,,7864.1,,7762.9,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6003.8,,,,,,,,,,6238.7,,,,,6694.7,,,6733.1,,6729.1,,,,,
East Asia & Pacific (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761152.1,,,,,,,,,,1806384.3,,,,,2226861.7,,,2418454.7,,2547354.2,,,,,
East Asia & Pacific (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508782.6,,,,,,,,,,1557738.3,,,,,1985172.4,,,2178232.8,,2305670.1,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10984.6,,,,,,,,,,12842,,,,,15130.5,,,14776.4,,15476.9,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26927.9,,,,,,,,,,35812.7,,,,,47775.1,,,51845.8,,50969.1,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672.9,,,,,,,,,,2798.1,,,,,3152.8,,,3127.7,,2992.2,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.6,,,,,,,,,,2682.3,,,,,2613.6,,,2774.7,,2837,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408.3,,,,,,,,,,2136.3,,,,,2212.3,,,2252,,2329.3,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39981.3,,,,,,,,,,46191.8,,,,,52959.6,,,60262.1,,63231.9,,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392803.9,,,,,,,,,,352558.1,,,,,326216.4,,,317256,,317044,,,,,
Europe & Central Asia (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738529.5,,,,,,,,,,1376606.1,,,,,1379144,,,1410115.7,,1436253,,,,,
Europe & Central Asia (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424197.5,,,,,,,,,,332732.1,,,,,358373.3,,,390446.7,,393788.7,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722758.3,,,,,,,,,,594854.6,,,,,543812.5,,,525920,,524786.6,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070.2,,,,,,,,,,10340.8,,,,,9750,,,9506.7,,8895.5,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316029.8,,,,,,,,,,286814.5,,,,,299622.1,,,348477.8,,352069.5,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75709.5,,,,,,,,,,85588.4,,,,,82885.4,,,82878.1,,83753.2,,,,,
Franch Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3478.5,,,,,,,,,,4082.1,,,,,4298.1,,,5247.8,,3817.5,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5037,,,,,,,,,,4137.4,,,,,4413.2,,,4708.2,,4863.5,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115443.1,,,,,,,,,,76116.9,,,,,61699,,,57614,,57229.7,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7924.7,,,,,,,,,,9627.9,,,,,9975.3,,,22497.5,,20664.5,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7734.1,,,,,,,,,,8089.2,,,,,8204.9,,,8202.6,,8417,,,,,
