name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahrain,,,,,,,,,,,,6380.357596,5960.211335,8483.540399,9000.916161,7996.355264,9581.250903,8187.114986,7843.399452,8813.309259,7794.491278,8294.952222,9071.024744,8503.038237,8828.776862,9916.54527,10814.77415,9518.006922,10487.16455,10241.97819,10549.27371,10105.28515,10838.75213,11146.94078,11558.47117,11401.67811,11080.70293,11963.16703,12204.43359,11704.4612,11912.82213,11760.838,11707.23705,11801.98006,11106.72918,11954.60627,11787.85363,11284.42733,11406.31327,10216.86133,9871.4219,9551.765908,9449.84879,,,
Bangladesh,,,,,,,,,,,,85.60804427,86.90376698,92.52964441,93.95672497,94.41841136,98.11028094,97.86076311,98.45851462,99.51565887,103.2686793,102.5556204,105.4729463,105.1721438,103.8985843,106.9682797,111.4933022,106.8499832,114.3586163,117.0042765,120.166297,115.6880669,119.3828305,123.3179805,126.0524143,134.232708,132.1697092,135.1821948,138.0237264,137.0537382,139.0074975,149.1529681,149.9003703,155.2043867,155.7479007,159.2083841,167.7548732,173.4901141,180.0111422,187.8068776,201.7238171,206.5925659,213.6578983,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.63776,,,,,,,,,,,,,,1373.168651,1423.290136,1447.062245,1452.088328,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.375012,4348.467922,3620.731989,3076.700752,2615.739317,2427.669413,2501.348819,2505.604626,2466.16516,2409.583458,2456.162119,2485.702558,2550.250482,2643.619782,2752.800308,2769.083721,2965.663265,2918.197908,2932.098657,2790.068371,2897.623077,3097.712868,3222.617815,,,
Belgium,2519.49732,2570.815623,2810.061148,3043.306993,3021.647212,3116.033563,3051.297429,3182.923458,3590.004258,3877.044364,4135.19977,4099.95532,4473.929513,4720.784112,4617.498595,4317.935658,4622.233118,4589.52441,4826.564957,4976.777099,4743.42206,4415.358604,4208.257802,4156.257407,4334.902427,4474.062993,4633.920017,4727.686395,4770.948398,4798.926451,4844.478273,5056.01817,5092.965785,4954.283193,5225.406829,5304.050653,5586.812446,5579.510757,5659.693494,5688.971966,5713.577369,5682.027051,5461.402903,5714.573917,5656.631517,5606.218645,5517.036473,5374.498339,5486.610377,5209.05168,5544.333694,5369.192389,5027.741119,5020.267612,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.3389353,,,,,,,,,,,,,,561.4213014,568.3442825,591.5714821,596.5087482,,,,,,,,
Benin,,,,,,,,,,,,371.8034779,380.8120291,380.1613724,379.3767214,381.1135843,360.4156747,363.7461243,368.2519364,364.6698129,363.7819444,353.2705982,355.338045,354.9856724,353.328844,359.8249046,352.7764501,347.3065918,345.6965558,336.8585926,332.1785602,325.4525545,321.3494561,316.8727899,312.3268255,308.5759327,348.2312601,350.7897205,336.2403351,340.656786,285.3022851,293.8776523,305.049237,311.193226,314.3467281,305.4478646,349.2575604,368.2160843,365.2429787,372.1213828,384.1679918,385.4099913,389.5726399,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.527405,,,,,,,,,,,,,,283.8064755,313.2856136,316.3797757,358.0489852,,,,,,,,
"Bolivia, Plurinational State of",,,,,,,,,,,,221.8632108,240.1571703,248.6986585,260.7145851,295.6191724,316.8232245,331.4392539,351.4507543,378.5800758,437.390734,449.3273161,462.4317031,429.5290809,419.5092301,405.7916954,375.9612224,341.49345,349.9061929,365.5344616,380.8805868,384.9919078,399.8280073,419.1690643,452.381928,497.7383848,520.1783751,556.4107353,551.3157628,531.1129198,695.5548478,574.364747,656.0431038,670.1519337,661.7923802,696.7532948,834.2408905,703.7590073,736.7872802,758.5491821,755.6470928,778.6651794,831.4642923,,,
