name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100.7,,,,,,,,,,7617.9,,,,,8607.6,,,9956.7,,8773.8,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318401.6,,,,,,,,,,392366.7,,,,,463165.5,,,505294.9,,550296.8,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20181.7,,,,,,,,,,20888.4,,,,,21316.5,,,23949.5,,25141.9,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87165,,,,,,,,,,58528,,,,,54701.5,,,63881.8,,66632.1,,,,,
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4351.5,,,,,,,,,,3418.3,,,,,3603.5,,,2735.8,,2899.8,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.5,,,,,,,,,,1653.2,,,,,1401,,,1424.1,,1543,,,,,
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7618,,,,,,,,,,8455.7,,,,,7477.7,,,8843.3,,9837.4,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764.1,,,,,,,,,,2904.3,,,,,2823.4,,,2902.8,,2943.3,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9592.9,,,,,,,,,,7317,,,,,6437.8,,,6617.5,,5796.2,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.2,,,,,,,,,,255.9,,,,,287.8,,,264.5,,315.2,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9654,,,,,,,,,,10483,,,,,7590.3,,,6709.7,,7290.5,,,,,
